LinkedIn Name,Corpus
Dhanaraj Bharathi Narasimha,"Dhanaraj Bharathi Narasimha is the Founder Chief Executive Officer of Horizon Ventures. He is based in Bengaluru, Karnataka, India. He has worked in the Environmental Services industry for 9 years 5 months. His company Horizon Ventures provides environmental services in the mining and construction industries."
Ravi Shastry,"Ravi Shastry is the CEO of Ecosible Recyclers Pvt. Ltd. He is based in Bangalore, Karnataka, India. He has worked in the nan industry for 11 years. His background includes http://www.ecosible.com/. He is a graduate of the Indian Institute of Technology, Bangalore."
Harshith Kumar S,"Harshith Kumar S is the CEO of Ekaiva Corporation. He is based in Bengaluru, Karnataka, India. His background includes Engineering specializing Automobile Safety and Energy Resource projects. He has worked in the retail industry for more than a decade. He was born in Bangalore, India, and is a graduate of the Indian Institute of Technology."
Priti Verma,"Priti Verma is the Chief Executive Officer of Avant Enviro. She is based in Hyderabad, Telangana, India. Her background includes environmental services and water quality analyzers. She has worked for the company for 4 years and 8 months."
Er. Aamir Ahmed,"Aamir Ahmed is a Cheif executive officer at QUICK ENGINEERING SOLUTIONS. He is based in Aligarh, Uttar Pradesh, India. His background includes environmental managers and environmental management. He has worked for four years at the company and is currently working as Cheif Executive Officer."
RAKESHWAR BHARDWAJ,"The founder of TRADEWIND BUSINESS SOLUTIONS LLP is RAKESHWAR BHARDWAJ. He is the CEO of TRadewind ENVIRO Services LLP based in Delhi, India. He has worked in the E waste industry for over 3 decades. His motto is ""Hard Work Knowledge"""
Raj Kumar,"Raj Kumar is the founder and CEO of Infraen India Private Limited. He is based in Bengaluru, Karnataka, India. He has worked in the environmental services industry for 13 years. His background includes learning hard lessons realised working extreme adverse situations bring better and growing companies continues passion."
Ashish Mittal,"Ashish Mittal is the Chief Executive Officer of MAPS pvt Ltd based in Delhi, India. His background includes carry 11 years experience different companies like Schneider Electric and Mitsubishi Hilti India. He has worked for Indian Railways since 2017. He is currently working for MAPS as Chief Executive officer."
Dhanikachalam Kandasamy,"Dhanikachalam Kandasamy is the Chief Executive Officer of Aadhav Intech. He has worked in the nan industry for 7 years. He is based in Chennai, Tamil Nadu, India. His background includes nan industry and nan technology. He was born in Chennai and grew up in Tamil Nadu."
lalit anand,"Lalit anand is the CEO of a pest control services company based in Ambala, Haryana, India. His background includes Expertise in pest control and pest control management. He is a graduate of the Indian Institute of Technology, Kharagpur and the Indian National Institute of Design, Kharadi."
Sriniwasa Prabhu,"Sriniwasa Prabhu is the Chief Executive Officer of Pondicherry Solidwaste Management Company Pvt Ltd. He is based in Puducherry, India. His background includes Looking opportunities work CCUS projects. He has worked in the waste management industry for 6 years."
Seema Oza,"Seema Oza is the CEO of Enviro Fluid Consultants in Ahmedabad, Gujarat, India. She is a Master Engineering M.E. focused Environmental Management L.D College Engineering. She has vast experience in Environmental Impact Assessment design supply and Hazardous Waste Management."
Elgin Varghese,"phthalmologist Elgin Varghese is the founder and CEO of Sunway Technologies P Ltd. The company provides solutions for the water crisis in India. Elgin has been working at Sunway for 11 years and is based in Bengaluru, Karnataka, India. He has worked in the environmental services industry for more than 10 years."
nandini choudhury,"Nandini choudhury is the Ceo of Greenc Laboratory Services. She is the founder and CEO of GCPL, an environmental Safeguards Consultancy. She has worked in the nan industry for 14 years and is based in Ghaziabad, Uttar Pradesh."
Raaghunath Maajee,"Raaghunath Maajee is a Chief Executive Officer Consultant Project Machinery. He is based in Chennai, Tamil Nadu, India. His background includes experience   Marine Power Industries maintenance   engineer 25 Years work project manager. He has completed master business management."
Pavala Rajan,"Pavala Rajan is the Founder CEO of Subra Consultancy in Salem, Tamil Nadu, India. She has more than a decade of experience conducting EIA studies. Her background includes GIS mapping, Numerical Modelling Studies and Marine Survey. She also has software expertise in GIS, AutoCAD and Delft3D."
Aayush Jha,"Aayush Jha currently working Co Founder CEO Clairco Clean air Company based in Bengaluru, Karnataka. Clairco helps businesses ensure clean air indoor spaces smart affordable way company India promise clean air indoors ensure measurable way affordable monthly fee. Jha's background includes real estate, leasing and real estate."
Narendra Patel,"Narendra Patel is the CEO of Rapid Pest Control India. He is based in Rajkot Gujarat, India. His background includes choice effective pest management services. He has been CEO of the company for 12 years 5 months. Patel is a graduate of the Indian Institute of Technology, Gandhinagar."
Sourabh Kumar Jha,"phthalabh Kumar Jha currently working CEO Self employed in India nan industry. Jha's background includes Water company working aggressively. Water Conservation, Water repellent technologies, Nanotech based penetrative water proofing surface absolutely water are his areas of focus. He has been CEO of the company for 9 years 2 months. He is currently working as CEO of Water company."
Visvanathan Alagappan,Visvanathan Alagappan currently working CEO ALAGAPPAN FAN ENGINEERING CONSULTANTS. Background includes Technology provider heavy duty centrifugal fans industrial air noise pollution control systems. Conducts courses fresh experienced engineers field fans concept commissioning O&M.
Bhaskar Sharma,"Bhaskar Sharma is the Chief Executive Officer of Petro Clean India Pvt. Ltd. His background includes nan industry. He is based in the Greater Delhi area of India. He has been working at Petro Clean for 2 years and 8 months. For confidential support call the Samaritans in the UK on 08457 90 90 90, visit a local Samaritans branch or click here for details."
Indrani Mukherjee,Indrani Mukherjee currently working Founder CEO MD Furn Bambu Private Limited. background includes PGDPM- CENTRAL UNIVERSITY HYDERABAD Structural Design STAADPRO GIS Software MapInfo ArchInfo. Based Bengaluru Karnataka India Consumer Goods industry.
Chandrakant Bodke,"Chandrakant Bodke is the founder and CEO of Cabsons Insulation Pvt. Ltd. He is from Nasik, Maharashtra, India. His background includes being an Engineer and a Piping Engineer. He has worked in the industry for 9 years and is currently working as CEO."
Jeekesh Arora,"Jekesh Arora is the Founder Chief Executive Officer of Inch ENVIRO TECHNOLOGIES PVT LTD. He is based in Jaipur, Rajasthan, India. He has worked for Inch Group for 7 years and is currently working for the company."
Amit Kumar Singh,"Amit Kumar Singh is the Chief Executive Officer of A2Z Plant Nutrient Private Limited. He is based in Varanasi, Uttar Pradesh, India. His background includes working utilising city waste converting compost natural fertilisers in a sustainable way. He has worked in the nan industry for three years."
Harsh Shah,"Harsh Shah is the Ceo of Finrope Solutions LLP. He is based in Gujarat, India. His background is in the nan industry. He has been at the company for 5 years 11 months. Shah is a graduate of the Indian Institute of Technology, Gandhinagar."
Dr. Neeraj Khatri,"Dr. Neeraj Khatri is the Chief Executive Officer of Mirika Consulting Group. His background includes nan industry. He is currently based in Gurugram, Haryana, India. He has worked for Mirika for 3 years and 2 months. For confidential support call the Samaritans in the UK on 08457 90 90 90, visit a local Samaritans branch or click here for details."
Pankaj Kumar,Pankaj Kumar currently working CEO Managing Director SCALEBAN EQUIPMENT PVT LTD SEPL. He is based in Indore Madhya Pradesh India Environmental Services industry. He has worked for 25 years 3 months as CEO and Managing Director. His goal is to protect society generation conserving precious natural resources.
Madhav Bhagwat,"Madhav Bhagwat currently working CEO Nuesch Development India. He is based in Mumbai Maharashtra India. His background includes nan industry. He has been CEO of the company for 7 years 8 months. His current role is CEO of Nuesch Development India, Mumbai, India."
K. Radha Narayan Rao,"K. Radha Narayan Rao is the Chief Executive Officer of SafeAir Technologies. He is based in Bengaluru, Karnataka, India. He has worked in the Information Services industry for over a decade. His background includes passionate learning exploring new areas order contribute to society."
Joyita Bhattacharya Pathak,"Joyita Bhattacharya Pathak is the Chief Executive Officer of Ensure Development Foundation. Her background includes nan industry and nanotechnology. She has been at the foundation for four years and eight months. She is a graduate of the Indian Institute of Technology, Kharagpur."
jayendra vicknesh,"Jayendra vicknesh is the CEO of Universys payment solutions p ltd. He is a seasoned graphic architecture design executive. He has worked in India for 12 years and is based in Tamil Nadu, Tamil Nadu. His background includes graphic architecture and sustainable materials."
Christopher Samuel,"Christopher Samuel is a founder and CEO of a Chennai-based environmental services company. His background includes 25+ years post PhD experience. He is currently working as a Founder and CEO at a company based in Chennai, Chennai, India. He has also worked as a teacher at a university in Chennai."
CTPAC Consultants,"CTPAC Consultants is based in Pune Maharashtra India. CTPAC is part of the Chirag Technoproducts Consultants group. The company is involved in the nan industry and has offices in Mumbai, Pune and Pune. The firm's website is: www.ctpac Consultants.com."
Rajendra Namdeo,"Rajendra Namdeo currently working CEO PBR envirotech. Based in Indore Madhya Pradesh, India. Background includes best waste water treatment provider India. 20 year experience water treatment service expertise ETP STP WTP RO DM UF MEE SS tanks MS tanks FRP Coatings Lab equipments water harvesting Air monitoring systems turnkey projects."
Mrs. Rekha Shirish Shah,"Mrs. Rekha Shirish Shah is the CEO of Eco Chem Sales Service, Surat, Gujarat, India. She has worked in the nan industry for 37 years. Her background includes nan industry, nanotechnology and nanomaterials. She is married and has two children."
पर्यावरण कवच An ISO Certified Company,"phthalmology.com is an ISO Certified Company based in Delhi, India. We are a nanomaterials company based in the nan industry. We have been in business for 22 years 7 months and are currently working as a Chief Executive Officer. The company is based in New Delhi and has offices across India and the UK."
Vinoth Maniraj,Vinoth Maniraj is the founder and CEO of Technofit Solutions LLP. His background includes ENTREPRENEURSHIP PROFILE. He started his career as a CTO at Winding BWDC Bangalore Web Design company. He has also worked as a Film Editor and worked for Indiamart Tolexo.
Jais Jose,"Jais Jose is the Co Founder CEO of Climateora Pvt Ltd based in Palghat, Kerala, India. He is a Geospatial technology enthusiast, Engineer, and Social Justice advocate. He has worked in the nan industry for 1 years and is passionate about sustainable development and social justice."
Dr James Moses,"phthalmologist Dr James Moses currently working ceo HECS. Dr Moses is based in Chennai, Tamil Nadu, India. He has worked in the nan industry for more than 25 years. His background includes nan industry, nanotechnology and nanomaterials. He is currently working as ceo at H ECS in Chennai."
Pradip Mukherjee,"Pradip Mukherjee is the President CEO of ERC Technology Pvt Ltd. His background includes ENGINEERING MARKETING PROFESSIONAL GLOBAL EXPOSURE BRINGING   NEW INITIATIVES. He is based in West Bengal, India."
Balaram Puttaiah,"Balaram Puttaiah is the founder and CEO of SONAL METACOP INDIA PVT LTD. His background includes nan industry. He is currently based in Bengaluru, Karnataka, India. He has been at the company for 2 years and 6 months."
Dhwaj Bagrecha,"Dhwaj Bagrecha is the Chief Executive Officer of Building Neo San. He is based in Bengaluru, Karnataka, India. His background includes clean technology and decentralised waste management. He has been working at the company for 5 years and 8 months."
Satyen Engineer,"YHonk Tech Private Limited is a nan industry company based in India. The company has been in business for 3 years and has a turnover of over $100 million. YHonk is a subsidiary of Yhonk Technologies, which is a leading nan technology company. The firm has been founded by YHonks' founder and CEO, Ravi Agrawal."
Rahul Bishnoi,"Rahul Bishnoi is Chief Executive Officer of Hi Tech Farms. He is based in Mumbai, Maharashtra, India. His background includes the nan industry and environmental activism. He has also been involved in the co-founders of Plasticless India and Public Health India. Bish noi is a graduate of the prestigious Tata Institute of Social Sciences."
Rajendra Kumar Jethi,Rajendra Kumar Jethi is the Chief Executive Officer of Pacific Corporation. He has worked for Pacific Corporation for 13 years 3 months. His background includes leading organization past 10 years protects foundation. He is also the founder of Homes Workspaces Industries provide best pest solutions carefree Insect infestation pests lifestyle.
Rajpal Navalkar,"Rajpal Navalkar is the Managing Director CEO of Thermoshield India. He is based in Bengaluru, Karnataka, India. His background includes nan and building materials industry. He has worked for 22 years in the building materials and construction industry."
Sriphani Vissamraju,"Sriphani Vissamraju is CEO of YesSV Energy Infrastructure Pvt Ltd. He is based in Hyderabad Telangana, India. He has worked in the energy industry for 14 years. His background includes Driven happen and the nan industry."
Jonathan Charles,"Jonathan Charles is the founder and CEO of Puducherry-based ZW. He is passionate about the waste treatment and disposal industry in India. His company ZW aims to revolutionize waste management and create a greener future. Charles is also the CEO of Raj Foundations, a family owned real estate company in Chennai."
Zulkif Shaikh,                 Zulkif Shaikh currently working Co founder CEO Sanjeevani S3. Based Mumbai Metropolitan Region nan industry. Started 2015 goal improving health Mumbai residents efficient sub urbanised waste management system. composting recycling forefront. Recycling dry waste composting wet waste.
Magesh Kumar M,Magesh Kumar M currently working CEO Air Aqua Labs India Pvt Ltd. background includes Environmental consultancy Services Tamil Nadu Pollution Control Board. Like obtaining Industries   CTE CTO Hazardous waste Authorization Environmental Clearance SEIA STP ETP Erection Commissioning.
Aman Y.,Aman Y. currently working Founder CEO Humanity India Trust. Background includes B. Tech Computer Science Engineering GL Bajaj Mathura followed MBA Business Sustainability TERI School Advanced Studies New Delhi worked team lead IQVIA stakeholders managed quality checks data pull desktop assessment projects 21 states India.
Gurjot Singh,"Gurjot Singh is the founder and CEO of BioShakti. He is also a climate scientist and physician entrepreneur. Gurjot's background includes sustainable agriculture biofuels energy storage focus deep decarbonization developing countries. He lives in Bengaluru, Karnataka, India."
P Devanand,"P Devanand is the Founder CEO of Sustainable Energy Environment Designs. He has 22 years solid experience in water wastewater recyling, solid waste management and waste energy. He is based in Chennai, Tamil Nadu, India. He also has experience in renewable energy and thermal engineering."
chinmay Khanolkar,"Chinmay Khanolkar is the founder and CEO of Prachinmay Sustainable Tourism Sustainability Services. He is based in Thane, Maharashtra, India. His background includes Environmental Innovations, Design Environment DfE, and Biodiversity Audits. He has worked in the tourism industry for over two years."
Aman Jain,"Aman Jain is the Chief Executive Officer of Maas Engineers based in Noida, Uttar Pradesh, India. He has worked for the company for 4 years 4 months. He is the son of former CEO Aman Jain, who was born in India and grew up in India. Jain has worked in the engineering industry for four years."
Imran Khan,Imran Khan is the Chief Executive Officer of MassTech Recycling. He has 10 years experience in the hospitality industry. He started his career as an office assistant at a hotel in Mumbai. In 2015 he decided to switch field and started his own company. He deals in waste scrap materials like laptops and batteries.
Prajwal Survê,"Prajwal Survê is the Chief Executive Officer of Hiranya Services. He is based in Ahmednagar, Maharashtra, India. His background includes systems evaluation, marketing communications, and time management. He has been at the company for 10 months and is currently working as CEO."
Aruna Chalam,"Aruna Chalam currently working Chief EXecutive officer Perma Tech Engineer. Based in Cuddalore Tamil Nadu India nan industry. Background includes nan industry, nan technology and nan manufacturing. Currently working as Chief EXECutive officer company nan. Back to Mail Online home. Back To the page you came from."
KEYUR PARIKH," KEYUR PARIKH is the Chief Executive Officer of Vadodara ENVIRO CHANNEL LIMITED. He is based in Gujarat, India. His background includes nan and environmental services. He has been at the company for 1 years 6 months and is currently working as a Chief Executive officer."
Alya Tapia,"Alya Tapia is a Senior Manager CEO foresight team Sustain Labs Paris. She is based in Mumbai, India. Her background includes Venture Capital Private Equity Principals. She has worked for two years in Paris. For more information on her work, visit her website."
ARUN PATIL,"Arun Patil is Chief Executive Officer of nan industry company. He is based in Pune, Maharashtra, India. His background includes nan industry, nanotechnology and nanomaterials. He has worked for more than 20 years in the nan industry. He was born and raised in Mumbai, Maharashtra."
Gunichha Bansod,"Gunichha Bansod is the Founder CEO of Greeco Sustainable Living. He is based in Maharashtra, India and works in the environmental services industry. He has worked in the corporate industry for 2 years 11 months. His background includes Mechanical Engineering industry Procurement firm Logistics Intern and MBA focused Operations Consultant."
Ravindra Saksena,Ravindra Saksena is the Managing Director of Alpine Techno legal Consulting Limited. Ravindra is a retired Principal Chief Conservator Forests Govt India. He is the author of 4 books including Handbook Environment Forest Legislations Guidelines Procedures India special reference mining Reported case law order dated 30th 2010 Hon'ble Supreme Court India.
ANIL KUMAR SAMINENI,"Anil KUMAR SAMINENI is the CEO of Greenwater Sky Ventures Pvt. Ltd. He is based in Andhra Pradesh, India. His background includes nan, nanotechnology, and environmental services. He has been working at the company for 5 years 3 months."
Sameer Rege,"                 Sameer Rege currently working Ceo Founder Mailhem IKOS Environment Pvt. Ltd. Based Pune Maharashtra India nan industry. 26 years 3 months   background includes nan industry, nan industry and nan manufacturing. Currently working as Ceo of Mailhem, a company based in Pune, Maharashtra."
G R K Rao,"G R K Rao is the CEO of Flumech Engineering P Ltd. based in West Delhi, India. He is the founder and CEO of Flumech Engineering P Ltd. The company has been in business for 7 years and is based in New Delhi, West Delhi."
Vikram Savani,"Vikram Savani is the Chief Executive Officer of VELIENT PEC INDIA PVT LTD. He is based in Surat Gujarat, India. His background includes 15 year experience in the field of import and export. He has 10 years experience in membrane manufacturing."
Mir Shameem Ahmad,"Mir Shameem Ahmad is the Chief Executive Officer of Biotech Solutions. He was born in Srinagar, Jammu Kashmir, India. His background includes nanotechnology and waste treatment. He has worked in the waste treatment industry for more than 15 years. He is currently based in the Indian state of Jammu and Kashmir. For confidential support call the Samaritans on 08457 90 90 90, visit a local Samaritans branch or click here for details."
SATHISH KUMAR KANDAY,"phthalish KUMAR KANDAY currently working as Chief Executive Officer of VIJAYA ENVIRO LABS. Sathish is based in Hyderabad Telangana, India. His background includes nan industry. He has worked in the nan industry for 11 years 10 months."
Mohammed Irfan,"Mohammed Irfan is the Chief Executive Officer of EcoCreds. He is based in Port Blair, Andaman Nicobar Islands, India. His background includes environmental services, entrepreneurship and crediting. He has also worked for Green Worms Eco Solutions LLP."
Vidyut Mohan,"Vidyut Mohan is an entrepreneur engineer innovator focused on solving hard interdisciplinary energy problems. He is currently working as Co founder and CEO of Takachar, a chemical manufacturing company in Delhi, India. Vidyut is the son of former Indian cricketer Vidyutt Mohan. He has worked for 8 years in the chemical manufacturing industry."
Jitta gopinath,"Jitta gopinath is the CEO of GREENENVIRONS ORG. He is based in Hyderabad Telangana, India. His background includes nan industry. He has worked for 13 years 7 months as CEO of GreenenVirons.com. Jitta is a graduate of the Indian Institute of Technology, Bangalore."
Dr.PraBhaKar Bhangare,"Dr. PraBhaKar Bhangare is the founder and CEO of Global PCCS. He is based in Bengaluru, Karnataka, India. He has worked in the Outsourcing Offshoring Consulting industry for 6 years. He also works as a NABL Technical Assessor for Productdev Edge."
Dr. Balaji Babu,Dr. Balaji Babu currently working Chief Executive Officer Water Wastewater Expert ABS CONSULTS. Background includes Possess 30 years professional experience particularly Urban Utility Infrastructure Environmental Projects India. Project includes GIS based Mapping Urban Utility Assets Water Waste water infrastructures DGPS GPS Survey.
Nagarajan Swaminathan,"Nagarajan Swaminathan is the CEO of VNS ENVIRO BIOTECHQ PVT LTD. He is based in Chennai, Tamil Nadu, India. His background is in the nan industry. He has been working at VNS for 2 years and 8 months."
Dr. Krithi K. Karanth,"Dr. Krithi K. Karanth is the Chief Executive Officer of Centre Wildlife Studies in Bengaluru, Karnataka, India. He is a Ph D Duke M.E.Sc Yale B.S B.A degrees University Florida completed executive education programs Harvard Oxford Stanford. He has published 125 + scientific publications popular articles."
Mr. Gian Modgil,"Gian Modgil is a Fellow ASHRAE | CEO Sterling India. He is a Mechanical Engineer having versatile experience in Heating Ventilation Air Conditioning and Electrical Building Management. Modgil has worked in India for 32 years and is based in South Delhi, India."
Vipin Kumar Yadav,"Vipin Kumar Yadav is the Chief Executive Officer of AmplEnviron Pvt. Ltd. He is based in Uttarakhand, India. His background includes nan, nanotechnology and environmental services. He has worked in the environmental services industry for 5 years."
Shadab Ghazaly,Shadab Ghazaly is the CEO of Wharton Sustainable Solutions. He is based in India and has worked in the coaching industry for 2 years. He has worked with some of the world's top companies. He also has a background in nanotechnology and is a graduate of the Wharton School of Business.
Baldev Chugh,"Baldev Chugh is CEO of Water Solutions based in Delhi, India. Chugh's background includes ground water sustainability and rain water harvesting. He is currently working as CEO of the Water Solutions division of his company. He has been at the company for 17 years 8 months."
Vipul Gupta,"Vipul Gupta currently working CEO UBER STITCH in Ahmedabad, Gujarat, India. background includes HR Specialized Environmental services. Vipul is a graduate of the prestigious Indian Institute of Technology, Ahmedabad. He has worked for Uber for six years and is based in the Ahmedabad area. He is also the co-founder of a nanotechnology company."
DILJITH K. DIVAKARAN,"Diljith K. DIVAKARAN is the CEO of New Tech Engineering Company. He is based in Kerala, India. His background includes |Entrepreneur| and SD MILLSTORES. He has been CEO of the company for 14 years 6 months."
Global Aquatech,"Global Aquatech is a water treatment company based in Chandigarh, India. The company provides a complete water treatment solution to customers worldwide. Global Aquatech has been in business for 19 years and is currently working as CEO of the company. It is based in the Indian state of Punjab in the Punjab region of India."
Jagdish Kishwan,Jagdish Kishwan is the Chief Executive Officer of GICIA India Pvt Ltd. He is also the Chief Advisor NCCF to the Government of India. His background includes 35 years administrative managerial research academic assignments. He has worked for the Indian Council Forestry Research Education for 3 years.
Divyesh Chandera,"Divyesh Chandera currently working Founder CEO DR Enviro Pvt Ltd DREPL. Bachelor Engineering focused Environmental Studies Dr. S.S.Gandhi college Engg Technology Surat. Background includes Business Management, Hazardous Waste Management and Transportation Operations."
Divya Ravichandran,"Divya Ravichandran is the founder and CEO of Skrap, an environmental services company based in Mumbai, Maharashtra, India. She has been working at Skrap for 7 years 5 months. Divya's background includes nan and environmental services. She is also a graduate of the Indian Institute of Technology, Mumbai."
Shubham Khandagale,"Shubham Khandagale is the Chief Executive Officer of H2O ENVIRONMENTAL WATER SOLUTIONS. He is based in Ahmednagar, Maharashtra, India. His background includes nan industry. He has worked in the nan industry for 3 years and 3 months."
Jay Waghela,"Jay Waghela is the Chief Executive Officer of M s Puran WaghelA Company. He is based in Delhi, India. His background is in the nan industry. He has been working at the company for 8 months. He also has a successful start-up company in the UK."
Sunpreet Kaur,"Sunpreet Kaur is the Chief Executive Officer of InsPIRE Network Environment. She is based in South Delhi, Delhi, India. Her background includes nan and environmental services. She has been at the company for 6 years 4 months and is currently working as CEO."
"Chirantan Rawal, Ph.D","Chirantan Rawal Ph D is the Chief Executive Officer of Helix Pool Systems LLP. He is based in Rajkot, Gujarat, India. He has worked for the company for 3 years and 8 months. His background includes CEO Helix pool system and science technology. He was born and raised in Gujarat."
SHAILY CHAUDHARY,Shaily Chaudhary is the CEO of Sunrise Fumigation Delhi NCR. She is a seasoned professional with 10 years of experience in the pest control industry. Her background includes an MBA IIM Lucknow and a Bonsai plant hobby. Shaily is passionate about teaching and nurturing new talent.
Ankur Kumar,"Ankur Kumar is the Chief Executive Officer of Kriya Labs Pvt. Ltd. He is based in Delhi, India. His background includes nanotechnology, environmental services and nanotechnology. He has been at the company for 7 years and is currently in charge of its development."
Mathew Jose,"Mathew Jose is the CEO of Paperman, a social enterprise based in Bengaluru, Karnataka, India. He is a Forbes 30 30 honoree and a TEDx speaker. He has worked in the waste treatment and disposal industry for 14 years. His company Paperman has generated 100,000 plastic waste credits."
Vikram Vetal,"Vikram Vetal is the Chief Executive Officer of Greengage Foundation. He is based in Karad Maharashtra, India. He has worked in the farming industry for 2 years. His background includes demonstrated history working in the industry. He also has a background in sustainability and renewable energy."
Thomas Lawrence,"Thomas Lawrence is the Chief Executive Officer of Save Wetlands International Movement SWIM. His background includes nan industry. He is currently based in Trivandrum, Kerala, India. He has worked in the nan industry for 7 years and has been involved in the SWIM movement for 2 months."
Ishant Sharma,"Ishant Sharma is the Chief Executive Officer of Radiant Tech Resources Pvt Ltd. He is based in Gurugram, Haryana, India. His background includes nanotechnology, Mechanical Industrial Engineering and nanotechnology. He has been working at the company for 5 years and 6 months."
Raif U,iovascular   Raif U currently working Founder CEO CLEAN WORLD                  Based Coimbatore Tamil Nadu India Environmental Services industry. Formerly serving CEO Bikzon automotive company designated known specially online bike servicing fellowman clearly know struggles getting vehicle service hectic schedule reason reason start Bikzone Hassle free bike servicing door step ultimate motto.
Prabhakar Sharma,"Prabhakar Sharma is the CEO of Macrocosm Environmental Solutions. His background includes QCI- NABET approved environmental professional experience. He has worked in the environmental services industry for 7 years. He is currently based in Jaipur, Rajasthan, India."
kulakkat joseph,Kulakkat joseph is the CEO of ICDM Integral Concept Development Marketing. His background includes nan industry. He is based in India and has been working for the company for 17 years 8 months. He has been involved in the nan industry for more than 20 years.
Sameer Singh,"Sameer Singh is currently working as Chief Executive Officer at Jaipur National University, Rajasthan, India. His background includes Marketing Manager demonstrated history working in Dairy environment industry. He is fluent in Microsoft Excel, PowerPoint and Customer Service Management. Sameer is a graduate of the National University of Technology, Jaipuri, Rajsthan. He has a background in Biotechnology."
Abhirup A,"Abhirup is the Co Founder CEO of Waste Care Technologies Pvt Ltd. He is based in Bengaluru, Karnataka, India. His background includes F&B, waste management, and business development. He has worked in Bangalore for 5 years and is currently working in Bangalore."
Kishore Bhatia,"Kishore Bhatia currently working Managing Director CEO Zoono India Trading LLP. He is based in Mumbai Maharashtra India and has worked for three years in the environmental services industry. His background includes Business Planning, Entrepreneurship, and Strategic Planning. His career highlights include highly accomplished visionary Executive and strong leadership."
Harendra Singh Shah,Harendra Singh Shah is CEO of Mascat Chemengers Consultants. His background includes nan industry and nanotechnology. He is currently working as CEO of the nan industry based in India. He has been with the company for 16 years and is currently in his third year as CEO.
Mahesh Nandurkar,Mahesh Nandurkar currently working Chief Mentor Non Executive Director Industrial Filters Fabrics Pvt Ltd IFF Group. He is based in Pune Maharashtra India Textile Manufacturing industry. His background includes accomplished P&L leader visionary executive 40 years hands.
Rajmohan Rangaraj,"Rajmohan Rangaraj is Chief Executive Officer Development Environergy Services Limited Group company Veolia. His background includes nan industry. He is based in Delhi, India. He has worked for Veolia for 11 years 4 months and is currently based in New Delhi."
Samuel Rajkumar,"Samuel Rajkumar is the Chief Executive Officer of Hueristic Devices. He is based in Bengaluru, Karnataka, India. His background includes nan industry and nanotechnology. He has worked in the nan industry for 4 years and is passionate about nan technology. He was born in Bangalore, India, and is a graduate of the University of Bengaluru."
Dharmesh Korat,"Dharmesh Korat is the Chief Executive Officer of Tapi Healthcare Lifestyle PVT LTD. His background includes manufacturer, Pyrolysis reactor, Biochar Carbon Removal Project and Hydrogen production. He is based in Surat Gujarat, India and has worked in the nan industry for over a decade."
Parikshit G,"Parikshit G is the founder and CEO of MeraMaali, a nan industry company based in Delhi, India. Parikshit's background includes nan industry. He is currently working as a CEO and founder of the company. He has been at the company for 8 years and is currently the CEO."
Dr. V. Shubhalaxmi R.,Dr. V. Shubhalaxmi R. currently working Founder CEO Ladybird Environmental Consulting LLP. background includes award winning entomologist educationist   entrepreneur Storyteller working environment sector decades founded. Company carries rejuvenation reforestation works improve biodiversity specializes establishing butterfly biodiversity parks.
Jacob Lallawmsang,"Jacob Lallawmsang is CEO of Hypnos Unisex Salon in Mumbai, Maharashtra, India. His background includes nan industry. He is a graduate of the Indian Institute of Technology, Bombay. He has worked in the nan industry for 6 years and is currently based in Mumbai. He also has a background in fashion design."
Arumuga Siva G,                    Arumuga Siva G currently working FOUNDER CEO NATURE BREATH ENVIRONMENT ECOLOGY CONSERVATION NGO. Based Tirunelveli Tamil Nadu India nan industry industry                   Arumuga Siva G is the founder and CEO of Nature Breathalyser.
Brad Reddersen,Brad Reddersen is the Founder and Chief Executive Officer of Climate Survival Solutions India Pvt Ltd. His background includes 35 years in the fields of climate science and environmental issues. He is the author of the Journey New Kalapa graphic novel series and the Sustainable Sikkim Guide Climate Crisis guidebook.
AK Mishra Mishra,"phthalmologist AK Mishra Mishra currently working Chief Executive Self Employed. Based in Mumbai Maharashtra India nan industry. background includes nan industry and nanotechnology. Currently working as Chief Executive of a nan company in Mumbai, Maharashtra, India. Back to Mail Online home. back to the page you came from."
Vyankatesh Bagul,Vyankatesh Bagul is the Chief Executive Officer of Rudhira Enterprises. His background includes Working Systematic Waste Management and Agriculture Horticulture Industries. He is based in Nashik Maharashtra India and has worked in India for 6 years and 3 months. He has a background in waste management and is passionate about the environment.
Naresh Yadav,"                    Naresh Yadav currently working CEO Pioneer Marketing Associates. Based in North Delhi Delhi India nan industry. Currently CEO company 23 years 7 months. background includes nan industry, nanotechnology, nanomaterials and nanotechnology. Currently working as CEO of Pioneer Marketing Associations."
Payel Chakraborty,"Payel Chakraborty is the Chief Executive Officer of KMN Environmental Impact Private Limited. He is based in Kolkata, West Bengal, India. His background includes 18 years experience sales marketing and 18 years as a sales professional. He has worked for KMN for 1 years."
Rajendran Rayappan,"Rajendran Rayappan is the CEO of Enviro Solutions Labs in Tamil Nadu, India. His background includes 19 + years as an experienced environmental consultant. He has been CEO of the company for 3 years and 5 months. He is a graduate of the prestigious Indian Institute of Technology, Madras."
